Module File ID,Module Family ID,Module Family,Module Label,Module Path,HubSpot Module ID,Scope,Block Type,Descriptor,Presentation Mode,HubSpot Folder,Local Source Path,Meta Global,Available For New Content,Content Types,Host Template Types,Field Count,Field Names,Field Types,Field Summary,Required Field Count,Locked Field Count,Default Value Coverage,Module HTML Hash,Fields JSON Hash,Meta JSON Hash,Can Be Used In Emails,Deployment Status,Last Local Sync Date,Last HubSpot Fetch Date,Source Of Truth,Brand Status,Compliance Role,Replacement For Legacy Module,Deprecated/Replaced By,Notes
modfile_email_modules_core_base_type_guidance_module,modfam_core_text_base_type_guidance,CORE - Text - Base type guidance,CORE - Text - Base type guidance - Light,email_modules/core/base_type_guidance.module,211677241162,CORE,Text,Base type guidance,Light,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/base_type_guidance.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,2,context; fallback_cta_url,choice; url,Content Context (choice); Fallback CTA URL (when base preference unknown) (url),0,0,2/2,3a3d645705bf8f613395d8090aed6248cc85629699f19a1810c56da013495949,3abba077a3995e539edac22d72262407301049a73317a41118d6f871f4fdef1f,af86829447a28490236fc686945dea153472ee2e6562b98913de94f2c93e04b3,True,Shipped - HubSpot module_id present,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_base_type_guidance_dark_module,modfam_core_text_base_type_guidance,CORE - Text - Base type guidance,CORE - Text - Base type guidance - Dark,email_modules/core/base_type_guidance_dark.module,,CORE,Text,Base type guidance,Dark,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/base_type_guidance_dark.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,2,context; fallback_cta_url,choice; url,Content Context (choice); Fallback CTA URL (when base preference unknown) (url),0,0,2/2,1bea541e2906cb6b792813c0ec73d77d0b0fce72962db6b4e7c46e93524898b0,3abba077a3995e539edac22d72262407301049a73317a41118d6f871f4fdef1f,a9cde95696b965f0bed9e67646596e600bea8ed062df106fffa91673bf7e4183,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_customer_snapshot_module,modfam_core_text_customer_snapshot,CORE - Text - Customer snapshot,CORE - Text - Customer snapshot - Light,email_modules/core/customer_snapshot.module,211677071918,CORE,Text,Customer snapshot,Light,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/customer_snapshot.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,3,context; cta_url; cta_label,choice; text; url,Content Context (choice); CTA URL (url); CTA Label (text),0,0,3/3,0a03e745054b31b8d34d2d8c6277fd69582122e1559d1a8fb2709e82110ac5dd,a4f7c362405e7b6391c7f8a1b312889bbd635ef674b91fc6ba37c6cad876fef0,1e3d83965aff0317f44af11c3daa139debca5a082baac333f6ecd401632dc635,True,Shipped - HubSpot module_id present,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_customer_snapshot_dark_module,modfam_core_text_customer_snapshot,CORE - Text - Customer snapshot,CORE - Text - Customer snapshot - Dark,email_modules/core/customer_snapshot_dark.module,,CORE,Text,Customer snapshot,Dark,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/customer_snapshot_dark.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,3,context; cta_url; cta_label,choice; text; url,Content Context (choice); CTA URL (url); CTA Label (text),0,0,3/3,f6e2256f584447375d51e9c4c7f735f21ea2663139c37864dd8c12d7cdc6f7c0,a4f7c362405e7b6391c7f8a1b312889bbd635ef674b91fc6ba37c6cad876fef0,4754578333ae380d492a5504cd91d6b7f1b9f3e9cd7c77fce385b508686a932d,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_email_footer_module,modfam_core_footer_standard,CORE - Footer - Standard,CORE - Footer - Standard - Light,email_modules/core/email_footer.module,211677069610,CORE,Footer,Standard,Light,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/email_footer.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,6,company_name; company_address; instagram_url; facebook_url; youtube_url; privacy_url,text; url,Company name (text); Company address (text); Instagram URL (url); Facebook URL (url); YouTube URL (url); Privacy URL (url),0,0,6/6,eeb00e8dd8694cdd8213b87d13d8e51add24001e1b60fcceac29af634ed7fa5d,fc189f0a973f112c707c3a97d71894c229884aff4da112059d1d3987639eb2ee,0ed415ee766383997bb8fc3b46f33c3bf852df1c708b1a2d4513d52df887c3b2,True,Shipped - HubSpot module_id present,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_email_footer_dark_module,modfam_core_footer_standard,CORE - Footer - Standard,CORE - Footer - Standard - Dark,email_modules/core/email_footer_dark.module,,CORE,Footer,Standard,Dark,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/email_footer_dark.module,False,True,MEMBERSHIP; LANDING_PAGE; SITE_PAGE; SUBSCRIPTION; CUSTOMER_PORTAL; EMAIL; WEB_INTERACTIVE,ANY,6,company_name; company_address; instagram_url; facebook_url; youtube_url; privacy_url,text; url,Company name (text); Company address (text); Instagram URL (url); Facebook URL (url); YouTube URL (url); Privacy URL (url),0,0,6/6,06aa052177cee06a239f352222279b203b584f24ffb85a7f440110b22ddf2a23,fc189f0a973f112c707c3a97d71894c229884aff4da112059d1d3987639eb2ee,c541830ae520340a7f9b80e10c683066759ee97bded2e779cc89d32511fe1e2a,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_email_header_module,modfam_core_header_centered_logo,CORE - Header - Centered logo,CORE - Header - Centered logo - Light,email_modules/core/email_header.module,211677070766,CORE,Header,Centered logo,Light,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/email_header.module,False,True,EMAIL,ANY,2,logo_image; logo_url,image; url,Logo Image (image); Logo URL (optional) (url),0,0,2/2,18fc430e70a2240902d000bfdf3ca87a5d7ee474c5049b4d856038a0a701f0c0,9de08eff74ad94013b1a63302e8cc39611a78a3b4a3430778bea82fd7074b83c,2987c1c30c0b693b7ceda50d1a12945c060ee34631eb259036fdf140c3b2fd99,True,Shipped - HubSpot module_id present,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_email_header_dark_module,modfam_core_header_centered_logo,CORE - Header - Centered logo,CORE - Header - Centered logo - Dark,email_modules/core/email_header_dark.module,,CORE,Header,Centered logo,Dark,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/email_header_dark.module,False,True,EMAIL,ANY,2,logo_image; logo_url,image; url,Logo Image (image); Logo URL (optional) (url),0,0,2/2,bf56f68695319471b34e610be13c8f3e279eedad9b8e201bd7202a3570a22d0f,4178f880017da3783f55cd54a6b1e86c2ac5ddc0c1fca598372617c5089dfae5,47ba91e7a9e29522856621606442b8392154c6e73b6ab2e48c87e11ffdfc330d,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,"Active module palette/logos, per module cleanup inventory",,,,
modfile_email_modules_core_faq_block_module,modfam_core_text_faq_block,CORE - Text - FAQ block,CORE - Text - FAQ block - Light,email_modules/core/faq_block.module,,CORE,Text,FAQ block,Light,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/faq_block.module,False,True,EMAIL,ANY,11,eyebrow; heading; intro_text; question_1; answer_1; question_2; answer_2; question_3; answer_3; question_4; answer_4,richtext; text,Eyebrow (text); Heading (text); Intro text (richtext); Question 1 (text); Answer 1 (richtext); Question 2 (text); Answer 2 (richtext); Question 3 (text); Answer 3 (richtext); Question 4 (text); Answer 4 (richtext),0,0,11/11,7dae1519a87dc0ab464df1ba26e1aff9e8cbcba6ea6079bb66351d2490aeb334,755680b88370dc90c9f9334fee641dde03823e4eaa8429d4a58670353ac46fd4,e2cd708142c28a2c97455fb7444c6fae7c12d9cceea7c28cc0b36a139ca20a7a,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
modfile_email_modules_core_faq_block_dark_module,modfam_core_text_faq_block,CORE - Text - FAQ block,CORE - Text - FAQ block - Dark,email_modules/core/faq_block_dark.module,,CORE,Text,FAQ block,Dark,core,/Users/vMac/03_agents/Projects/Email Marketing/Email Marketing Studio/hubspot/design-manager/email_modules/core/faq_block_dark.module,False,True,EMAIL,ANY,11,eyebrow; heading; intro_text; question_1; answer_1; question_2; answer_2; question_3; answer_3; question_4; answer_4,richtext; text,Eyebrow (text); Heading (text); Intro text (richtext); Question 1 (text); Answer 1 (richtext); Question 2 (text); Answer 2 (richtext); Question 3 (text); Answer 3 (richtext); Question 4 (text); Answer 4 (richtext),0,0,11/11,bd30dad112dd8adccf6b3979f29fc1183000cd1fa2c2a772f7204c31a279aefa,755680b88370dc90c9f9334fee641dde03823e4eaa8429d4a58670353ac46fd4,9fe8da9e041ce892494e1e2ad76b0ab79b802d89074335dee83e86e367e8f417,True,Built active - module_id missing from local meta,2026-07-03,2026-07-03,Email Marketing Studio/hubspot/design-manager/email_modules,,,,,
