scope,module_path,label,source_status,complete,missing_files,rebrand_status
"core","core/base_type_guidance.module","CORE - Text - Base type guidance - Light","local and live","true","","pending"
"core","core/base_type_guidance_dark.module","CORE - Text - Base type guidance - Dark","local and live","true","","pending"
"core","core/customer_snapshot.module","CORE - Text - Customer snapshot - Light","local and live","true","","pending"
"core","core/customer_snapshot_dark.module","CORE - Text - Customer snapshot - Dark","local and live","true","","pending"
"core","core/email_footer.module","CORE - Footer - Standard - Light","local and live","true","","pending"
"core","core/email_footer_dark.module","CORE - Footer - Standard - Dark","local and live","true","","pending"
"core","core/email_header.module","CORE - Header - Centered logo - Light","local and live","true","","pending"
"core","core/email_header_dark.module","CORE - Header - Centered logo - Dark","local and live","true","","pending"
"core","core/faq_block.module","CORE - Text - FAQ block - Light","local-only draft","true","","pending"
"core","core/faq_block_dark.module","CORE - Text - FAQ block - Dark","local-only draft","false","fields.json","pending"
"core","core/goal_based_recommendation.module","CORE - Products - Goal-based recommendation - Light","local and live","true","","pending"
"core","core/goal_based_recommendation_dark.module","CORE - Products - Goal-based recommendation - Dark","local and live","true","","pending"
"core","core/hero.module","CORE - Text - Hero - Light","local-only draft","true","","pending"
"core","core/hero_dark.module","CORE - Text - Hero - Dark","local-only draft","false","fields.json","pending"
"core","core/lifespan_next_step.module","CORE - Text - Lifespan next step - Light","local and live","true","","pending"
"core","core/lifespan_next_step_dark.module","CORE - Text - Lifespan next step - Dark","local and live","true","","pending"
"core","core/proof.module","CORE - Text - Proof - Light","local-only draft","true","","pending"
"core","core/proof_dark.module","CORE - Text - Proof - Dark","local-only draft","false","fields.json","pending"
"core","core/reassurance.module","CORE - Text - Reassurance - Light","local-only draft","true","","pending"
"core","core/reassurance_dark.module","CORE - Text - Reassurance - Dark","local-only draft","false","fields.json","pending"
"launch","launch/launch-01-04-logo-pair.module","Launch - Image - New site experience - Light","local and live","true","","pending"
"launch","launch/launch-02-03-offer.module","Launch - Text - Offer - Light","local and live","true","","pending"
"launch","launch/launch-03-03-offer.module","Launch - Text - Offer - Light","local and live","true","","pending"
"launch","launch/launch-03-05-products-3-dark.module","Launch - Products - Three product grid - Dark","local and live","true","","pending"
"launch","launch/launch-05-01-header.module","Launch - Header - Centered logo - Light","local and live","true","","pending"
"launch","launch/launch-05-02-hero-image.module","Launch - Image - Hero image - Light","local and live","true","","pending"
"launch","launch/launch-05-03-question-list.module","Launch - Text - Question list - Light","local and live","true","","pending"
"launch","launch/launch-05-04-five-changes.module","Launch - Text - Five changes - Light","local and live","true","","pending"
"launch","launch/launch-05-05-belief-list-dark.module","Launch - Text - Belief list - Dark","local and live","true","","pending"
"launch","launch/launch-05-06-founder-pillars.module","Launch - Text - Founder pillars - Light","local and live","true","","pending"
"launch","launch/launch-05-07-products-3.module","Launch - Products - Three product grid - Light","local and live","true","","pending"
"launch","launch/launch-05-08-final-cta.module","Launch - Button - Final CTA - Light","local and live","true","","pending"
"launch","launch/launch-05-09-footer.module","Launch - Footer - Standard - Light","local and live","true","","pending"
"launch","launch/launch_belief_list.module","Launch - Text - Belief list - Light","local and live","true","","pending"
"launch","launch/launch_belief_list_dark.module","Launch - Text - Belief list - Dark","local and live","true","","pending"
"launch","launch/launch_collections_grid4.module","Launch - Grid - Collections grid (4) - Light","local and live","true","","pending"
"launch","launch/launch_collections_grid4_dark.module","Launch - Grid - Collections grid (4) - Dark","local and live","true","","pending"
"launch","launch/launch_collections_grid4_teal.module","Launch - Grid - Collections grid (4) - Teal","local and live","true","","pending"
"launch","launch/launch_collections_grid6.module","Launch - Grid - Collections grid (6) - Light","local and live","true","","pending"
"launch","launch/launch_collections_grid6_dark.module","Launch - Grid - Collections grid (6) - Dark","local and live","true","","pending"
"launch","launch/launch_collections_grid6_teal.module","Launch - Grid - Collections grid (6) - Teal","local and live","true","","pending"
"launch","launch/launch_feature_list_5.module","Launch - Text - Five changes - Light","local and live","true","","pending"
"launch","launch/launch_feature_list_5_dark.module","Launch - Text - Five changes - Dark","local and live","true","","pending"
"launch","launch/launch_feature_list_5_teal.module","Launch - Text - Five changes - Teal","local and live","true","","pending"
"launch","launch/launch_final_cta.module","Launch - Button - Final CTA - Light","local and live","true","","pending"
"launch","launch/launch_final_cta_dark.module","Launch - Button - Final CTA - Dark","local and live","true","","pending"
"launch","launch/launch_final_cta_teal.module","Launch - Button - Final CTA - Teal","local and live","true","","pending"
"launch","launch/launch_footer.module","Launch - Footer - Standard - Light","local and live","true","","pending"
"launch","launch/launch_footer_dark.module","Launch - Footer - Standard - Dark","local and live","true","","pending"
"launch","launch/launch_footer_teal.module","Launch - Footer - Standard - Teal","local and live","true","","pending"
"launch","launch/launch_founder_note.module","Launch - Image - Founder note (photo) - Light","local and live","true","","pending"
"launch","launch/launch_founder_note_dark.module","Launch - Image - Founder note (photo) - Dark","local and live","true","","pending"
"launch","launch/launch_founder_note_teal.module","Launch - Image - Founder note (photo) - Teal","local and live","true","","pending"
"launch","launch/launch_founder_pillars.module","Launch - Text - Founder pillars - Light","local and live","true","","pending"
"launch","launch/launch_founder_pillars_dark.module","Launch - Text - Founder pillars - Dark","local and live","true","","pending"
"launch","launch/launch_header.module","Launch - Header - Centered logo - Light","local and live","true","","pending"
